Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG1,3P,3PA,3P1,2P,2PA,2P,eFG1,FT,FTA,FT1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Season_type,player_id
14,RJ Barrett,SG,22,NYK,11,11,34.3,6.5,14.9,433,1.8,5.5,328,4.6,9.4,495,494,4.5,5.9,769,0.5,4,4.5,2.8,0.8,0.2,2.3,2.3,19.3,2025,Regular,1629628
30,Jalen Brunson,PG,26,NYK,11,11,40.3,9.9,20.9,474,2.4,7.3,325,7.5,13.6,553,0.53,5.6,6.2,912,0.8,4.1,4.9,5.6,1.5,0.1,2.1,2.4,27.8,2025,Regular,1628973
73,Quentin Grimes,SG,22,NYK,9,6,26.9,1.6,5.1,304,1,4.1,243,0.6,1,556,402,1,1.2,818,0.3,2.4,2.8,1.4,1,0.6,1.1,1.9,5.1,2025,Regular,1629656
80,Josh Hart,SF,27,NYK,11,5,32.1,4.1,8.5,479,0.9,2.9,313,3.2,5.6,565,532,1.3,2,636,1.6,5.7,7.4,2.2,0.8,0.3,1.9,3.5,10.4,2025,Regular,1628404
81,Isaiah Hartenstein,C,24,NYK,11,0,20,1,2.1,478,0,0,0,1,2.1,478,478,1.1,1.5,0.75,2.1,2.5,4.6,1.3,0.8,1.4,0.5,2.6,3.1,2025,Regular,1628392
97,DaQuan Jeffries,SG,25,NYK,2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,Regular,1629610
128,Miles McBride,PG,22,NYK,8,0,2.5,0.1,0.5,0.25,0.1,0.4,333,0,0.1,0,375,0,0,0,0,0.3,0.3,0.1,0,0.1,0,0.1,0.4,2025,Regular,1630540
170,Immanuel Quickley,SG,23,NYK,8,0,21.9,2.9,8.3,348,1.1,4.6,243,1.8,3.6,483,417,2.1,2.5,0.85,0.3,1.4,1.6,1,0.5,0,1.1,1.4,9,2025,Regular,1630193
171,Julius Randle,PF,28,NYK,10,10,33,5.5,14.7,374,1.7,6.6,258,3.8,8.1,469,432,3.9,5.5,709,1.7,6.6,8.3,3.6,0.5,0.3,3.5,2.4,16.6,2025,Regular,203944
176,Mitchell Robinson,C,24,NYK,11,11,27.1,2.6,4.4,604,0,0,0,2.6,4.4,604,604,1.2,3,394,5,4.3,9.3,0.8,0.6,1.5,0.9,2.6,6.5,2025,Regular,1629011
178,Derrick Rose,PG,34,NYK,1,0,3,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025,Regular,201565
197,Obi Toppin,PF,24,NYK,11,1,15.9,2.7,6.4,429,1.2,3.9,302,1.5,2.5,0.63,521,0.4,0.5,0.8,0.9,2.6,3.5,0.6,0.7,0.3,0.7,1.1,7,2025,Regular,1630167